District State,MySQL_District,GEOJson_District
Andaman-&-Nicobar-Islands,Nicobar,Nicobars
Andaman-&-Nicobar-Islands,Nicobars,Nicobars
Andaman-&-Nicobar-Islands,North And Middle Andaman,North and Middle Andaman
Andaman-&-Nicobar-Islands,South Andaman,South Andaman
Andhra-Pradesh,Alluri Sitharama Raju,Visakhapatnam
Andhra-Pradesh,Anakapalli,Visakhapatnam
Andhra-Pradesh,Anantapur,Anantapur
Andhra-Pradesh,Ananthapuramu,Anantapur
Andhra-Pradesh,Annamayya,Chittoor
Andhra-Pradesh,Bapatla,Guntur
Andhra-Pradesh,Chittoor,Chittoor
Andhra-Pradesh,Dr Br Ambedkar Konaseema,East Godavari
Andhra-Pradesh,East Godavari,East Godavari
Andhra-Pradesh,Eluru,West Godavari
Andhra-Pradesh,Guntur,Guntur
Andhra-Pradesh,Kakinada,East Godavari
Andhra-Pradesh,Krishna,Krishna
Andhra-Pradesh,Kurnool,Kurnool
Andhra-Pradesh,Nandyal,Kurnool
Andhra-Pradesh,Ntr,Krishna
Andhra-Pradesh,Palnadu,Guntur
Andhra-Pradesh,Parvathipuram Manyam,Vizianagaram
Andhra-Pradesh,Prakasam,Prakasam
Andhra-Pradesh,Spsr Nellore,S.P.S. Nellore
Andhra-Pradesh,Sri Potti Sriramulu Nellore,S.P.S. Nellore
Andhra-Pradesh,Sri Sathyasai,Anantapur
Andhra-Pradesh,Srikakulam,Srikakulam
Andhra-Pradesh,Tirupati,Chittoor
Andhra-Pradesh,Visakhapatnam,Visakhapatnam
Andhra-Pradesh,Vizianagaram,Vizianagaram
Andhra-Pradesh,West Godavari,West Godavari
Andhra-Pradesh,Ysr,Y.S.R.
Arunachal-Pradesh,Anjaw,Anjaw
Arunachal-Pradesh,Changlang,Changlang
Arunachal-Pradesh,Dibang Valley,Upper Dibang Valley
Arunachal-Pradesh,East Kameng,East Kameng
Arunachal-Pradesh,East Siang,East Siang
Arunachal-Pradesh,Itanagar Capital Complex,Papum Pare
Arunachal-Pradesh,Kamle,Kamle
Arunachal-Pradesh,Kra Daadi,Kra Daadi
Arunachal-Pradesh,Kurung Kumey,Kurung Kumey
Arunachal-Pradesh,Lepa Rada,Lepa Rada
Arunachal-Pradesh,Lohit,Lohit
Arunachal-Pradesh,Longding,Longding
Arunachal-Pradesh,Lower Dibang Valley,Lower Dibang Valley
Arunachal-Pradesh,Lower Siang,Lower Siang
Arunachal-Pradesh,Lower Subansiri,Lower Subansiri
Arunachal-Pradesh,Namsai,Namsai
Arunachal-Pradesh,Pakke Kessang,Pakke Kessang
Arunachal-Pradesh,Papum Pare,Papum Pare
Arunachal-Pradesh,Shi Yomi,Shi Yomi
Arunachal-Pradesh,Siang,Siang
Arunachal-Pradesh,Tawang,Tawang
Arunachal-Pradesh,Tirap,Tirap
Arunachal-Pradesh,Upper Siang,Upper Siang
Arunachal-Pradesh,Upper Subansiri,Upper Subansiri
Arunachal-Pradesh,West Kameng,West Kameng
Arunachal-Pradesh,West Siang,West Siang
Assam,Bajali,Barpeta
Assam,Baksa,Baksa
Assam,Barpeta,Barpeta
Assam,Biswanath,Biswanath
Assam,Bongaigaon,Bongaigaon
Assam,Cachar,Cachar
Assam,Charaideo,Charaideo
Assam,Chirang,Chirang
Assam,Darrang,Darrang
Assam,Dhemaji,Dhemaji
Assam,Dhubri,Dhubri
Assam,Dibrugarh,Dibrugarh
Assam,Dima Hasao,Dima Hasao
Assam,Goalpara,Goalpara
Assam,Golaghat,Golaghat
Assam,Hailakandi,Hailakandi
Assam,Hojai,Hojai
Assam,Jorhat,Jorhat
Assam,Kamrup,Kamrup
Assam,Kamrup Metropolitan,Kamrup Metropolitan
Assam,Karbi Anglong,Karbi Anglong
Assam,Karimganj,Karimganj
Assam,Kokrajhar,Kokrajhar
Assam,Lakhimpur,Lakhimpur
Assam,Majuli,Majuli
Assam,Marigaon,Morigaon
Assam,Morigaon,Morigaon
Assam,Nagaon,Nagaon
Assam,Nalbari,Nalbari
Assam,Sivasagar,Sivasagar
Assam,Sonitpur,Sonitpur
Assam,South Salmara Mancachar,South Salmara Mancachar
Assam,South Salmara Mankachar,South Salmara Mancachar
Assam,Tamulpur,Baksa
Assam,Tinsukia,Tinsukia
Assam,Udalguri,Udalguri
Assam,West Karbi Anglong,West Karbi Anglong
Bihar,Araria,Araria
Bihar,Arwal,Arwal
Bihar,Aurangabad,Aurangabad
Bihar,Banka,Banka
Bihar,Begusarai,Begusarai
Bihar,Bhagalpur,Bhagalpur
Bihar,Bhojpur,Bhojpur
Bihar,Buxar,Buxar
Bihar,Darbhanga,Darbhanga
Bihar,Gaya,Gaya
Bihar,Gopalganj,Gopalganj
Bihar,Jamui,Jamui
Bihar,Jehanabad,Jehanabad
Bihar,Kaimur,Kaimur Bhabhua
Bihar,Kaimur Bhabua,Kaimur Bhabhua
Bihar,Katihar,Katihar
Bihar,Khagaria,Khagaria
Bihar,Kishanganj,Kishanganj
Bihar,Lakhisarai,Lakhisarai
Bihar,Madhepura,Madhepura
Bihar,Madhubani,Madhubani
Bihar,Munger,Munger
Bihar,Muzaffarpur,Muzaffarpur
Bihar,Nalanda,Nalanda
Bihar,Nawada,Nawada
Bihar,Pashchim Champaran,West Champaran
Bihar,Patna,Patna
Bihar,Purbi Champaran,East Champaran
Bihar,Purnea,Purnia
Bihar,Purnia,Purnia
Bihar,Rohtas,Rohtas
Bihar,Saharsa,Saharsa
Bihar,Samastipur,Samastipur
Bihar,Saran,Saran
Bihar,Sheikhpura,Sheikhpura
Bihar,Sheohar,Sheohar
Bihar,Sitamarhi,Sitamarhi
Bihar,Siwan,Siwan
Bihar,Supaul,Supaul
Bihar,Vaishali,Vaishali
Chandigarh,Chandigarh,Chandigarh
Chhattisgarh,Balod,Balod
Chhattisgarh,Baloda Bazar,Baloda Bazar
Chhattisgarh,Balodabazar Bhatapara,Baloda Bazar
Chhattisgarh,Balrampur,Balrampur
Chhattisgarh,Balrampur Ramanujganj,Balrampur
Chhattisgarh,Bastar,Bastar
Chhattisgarh,Bemetara,Bametara
Chhattisgarh,Bijapur,Bijapur
Chhattisgarh,Bilaspur,Bilaspur
Chhattisgarh,Dantewada,Dakshin Bastar Dantewada
Chhattisgarh,Dhamtari,Dhamtari
Chhattisgarh,Durg,Durg
Chhattisgarh,Gariaband,Gariaband
Chhattisgarh,Gariyaband,Gariaband
Chhattisgarh,Gaurela Pendra Marwahi,Bilaspur
Chhattisgarh,Janjgir Champa,Janjgir Champa
Chhattisgarh,Jashpur,Jashpur
Chhattisgarh,Kabirdham,Kabeerdham
Chhattisgarh,Kanker,Uttar Bastar Kanker
Chhattisgarh,Khairagarh Chhuikhadan Gandai,Rajnandgaon
